ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Medal,NOC,region
153,Monica Cecilia Abbott,F,23,191,88,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Silver,USA,USA
165,Nia Nicole Abdallah,F,20,175,56,United States,USA,2004 Summer,2004,Summer,Athina,Taekwondo,Silver,USA,USA
250,Saeid Morad Abdevali,M,26,170,80,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,Bronze,IRI,Iran
259,Reema Abdo,F,21,173,59,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Bronze,CAN,Canada
297,Lala Abdul Rashid,M,38,169,91,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Hockey,Gold,PAK,Pakistan
298,Muhammad Abdul Rashid,M,23,181,72,Pakistan,PAK,1964 Summer,1964,Summer,Tokyo,Hockey,Silver,PAK,Pakistan
316,Zagalav Abdulbekovich Abdulbekov,M,26,160,62,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Wrestling,Gold,URS,Russia
337,Mukhammad Kadyr Abdullayev,M,26,169,63,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Boxing,Gold,UZB,Uzbekistan
339,Namiq Yadulla Abdullayev,M,25,167,55,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,Silver,AZE,Azerbaijan
339,Namiq Yadulla Abdullayev,M,29,167,55,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Wrestling,Gold,AZE,Azerbaijan
351,Julius Shareef Abdur-Rahim,M,23,202,104,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Gold,USA,USA
357,Yusup Abdusalomov,M,30,170,84,Tajikistan,TJK,2008 Summer,2008,Summer,Beijing,Wrestling,Silver,TJK,Tajikistan
359,Andrey Khakimovich Abduvaliyev,M,26,190,125,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Gold,EUN,Russia
379,Addis Abebe,M,21,160,50,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Athletics,Bronze,ETH,Ethiopia
385,"Max Xam"""" Abegglen""""",M,22,NA,NA,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Football,Silver,SUI,Switzerland
394,Irene Abel,F,19,160,48,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Silver,GDR,Germany
395,Jennifer Abel,F,20,160,62,Canada,CAN,2012 Summer,2012,Summer,London,Diving,Bronze,CAN,Canada
399,Egil Sten Abel,M,20,NA,NA,Fornebo,NOR,1920 Summer,1920,Summer,Antwerpen,Sailing,Silver,NOR,Norway
401,Abelardo Fernndez Antua,M,22,NA,NA,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Football,Gold,ESP,Spain
404,"Louis Grenville Lou"""" Abell""""",M,15,NA,NA,Vesper Boat Club,USA,1900 Summer,1900,Summer,Paris,Rowing,Gold,USA,USA
404,"Louis Grenville Lou"""" Abell""""",M,19,NA,NA,Vesper Boat Club,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Gold,USA,USA
411,Gezahgne Abera,M,22,166,58,Ethiopia,ETH,2000 Summer,2000,Summer,Sydney,Athletics,Gold,ETH,Ethiopia
416,Nils Georg berg,M,19,181,78,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Bronze,SWE,Sweden
416,Nils Georg berg,M,19,181,78,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Silver,SWE,Sweden
423,Michael Brent Abernathy,M,22,182,84,United States,USA,2000 Summer,2000,Summer,Sydney,Baseball,Gold,USA,USA
424,Moira Abernethy (-Ford),F,17,NA,NA,South Africa,RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Bronze,RSA,South Africa
428,Elvan Abeylegesse,F,25,159,40,Turkey,TUR,2008 Summer,2008,Summer,Beijing,Athletics,Silver,TUR,Turkey
443,Ismail Abilov (-Nizamolu),M,29,172,82,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,Gold,BUL,Bulgaria
454,"Edgar Allen Ed"""" Ablowich""""",M,19,182,68,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Gold,USA,USA
455,Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Bronze,RUS,Russia
455,Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Silver,RUS,Russia
455,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Silver,RUS,Russia
455,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Silver,RUS,Russia
455,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Bronze,RUS,Russia
460,Viktor Andreyevich Aboimov,M,22,190,78,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Silver,URS,Russia
460,Viktor Andreyevich Aboimov,M,22,190,78,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Bronze,URS,Russia
465,"Matthew Matt"""" Abood""""",M,30,197,92,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Bronze,AUS,Australia
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21,188,87,Egypt,EGY,2012 Summer,2012,Summer,London,Fencing,Silver,EGY,Egypt
507,Attila brahm,M,21,192,88,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,Bronze,HUN,Hungary
507,Attila brahm,M,21,192,88,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,Gold,HUN,Hungary
507,Attila brahm,M,25,192,88,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,Silver,HUN,Hungary
509,Gary Abraham,M,21,175,64,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Bronze,GBR,UK
514,Ara Abrahamian,M,29,191,84,Sweden,SWE,2004 Summer,2004,Summer,Athina,Wrestling,Silver,SWE,Sweden
519,Harold Maurice Abrahams,M,24,183,75,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Gold,GBR,UK
519,Harold Maurice Abrahams,M,24,183,75,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Silver,GBR,UK
521,Isak Abrahamsen,M,21,NA,NA,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Gymnastics,Gold,NOR,Norway
527,Erik Adolf Efraim Abrahamsson,M,22,172,61,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Athletics,Bronze,SWE,Sweden
543,Pavel Sergeyevich Abramov,M,25,198,89,Russia,RUS,2004 Summer,2004,Summer,Athina,Volleyball,Bronze,RUS,Russia
547,Nelli Mikhaylovna Abramova,F,24,171,60,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Volleyball,Silver,URS,Russia
