Name,Team,Sport,num_medals,Gold_Medals,Silver_Medals,Bronze_Medals
"Irene Karlijn "Ireen"" Wst"",Netherlands,"Speed Skating",8,4,3,1
"Pieter Cornelis Martijn van den Hoogenband",Netherlands,Swimming,7,3,2,2
"Dana Whitney Vollmer (-Grant)","United States",Swimming,7,5,1,1
"Katarina "Kati"" Wilhelm"",Germany,Biathlon,7,3,3,1
"Wu Minxia",China,Diving,7,5,1,1
"Eero Antero Mntyranta",Finland,"Cross Country Skiing",7,3,2,2
"Gustavo Marzi",Italy,Fencing,7,2,5,0
"Shannon Lee Miller (-Phillips  -Falconetti)","United States",Gymnastics,7,2,2,3
"Lon Ernest Moreaux",France,Shooting,7,2,2,3
"Aliya Farkhatovna Mustafina",Russia,Gymnastics,7,2,2,3
"Simona Amnar (-Tabr)",Romania,Gymnastics,7,3,1,3
"Agneta Monica Andersson",Sweden,Canoeing,7,3,2,2
"Ivar Eugen Ballangrud (Eriksen-)",Norway,"Speed Skating",7,4,2,1
"Amanda Ray Beard (-Brown)","United States",Swimming,7,2,4,1
"Thomas Michael "Tom"" Jager"","United States",Swimming,7,5,1,1
"Karin Janz (-Bttner)","East Germany",Gymnastics,7,2,3,2
"Jason Francis Kenny","Great Britain",Cycling,7,6,1,0
"Svetlana Vasilyevna Khorkina",Russia,Gymnastics,7,2,4,1
"Marja-Liisa Kirvesniemi-Hmlinen",Finland,"Cross Country Skiing",7,3,0,4
"Kosuke Kitajima",Japan,Swimming,7,4,1,2
"Reiner Klimke","West Germany",Equestrianism,7,5,0,2
"Dmitry Ivanovich Sautin",Russia,Diving,7,2,2,3
"Kirsty Leigh Coventry (-Seward)",Zimbabwe,Swimming,7,2,4,1
"Charles Meldrum "Charlie"" Daniels"","United States",Swimming,7,4,1,2
"Pl dm Kovcs",Hungary,Fencing,7,6,0,1
"Sven Kramer",Netherlands,"Speed Skating",7,3,2,2
"Pavel Serafimovich Lednyov","Soviet Union","Modern Pentathlon",7,2,2,3
"Willis Augustus Lee  Jr.","United States",Shooting,7,5,1,1
"Lisbeth Constance "Libby"" Lenton-Trickett"",Australia,Swimming,7,4,1,2
"Einar Liberg",Norway,Shooting,7,4,2,1
"Manuela Di Centa",Italy,"Cross Country Skiing",7,2,2,3
"Krisztina Egerszegi",Hungary,Swimming,7,5,1,1
"Andrea Ehrig-Schne-Mitscherlich","East Germany","Speed Skating",7,1,5,1
"Yukio Endo",Japan,Gymnastics,7,5,2,0
"Lloyd Spencer Spooner","United States",Shooting,7,4,1,2
"Josef "Sepp"" Stalder"",Switzerland,Gymnastics,7,1,3,3
"Shirley Barbara Strickland de la Hunty",Australia,Athletics,7,3,1,3
"Irena Szewiska-Kirszenstein",Poland,Athletics,7,3,2,2
"Masao Takemoto",Japan,Gymnastics,7,1,3,3
"Arnold Clas Robert Thunberg",Finland,"Speed Skating",7,5,1,1
"Kohei Uchimura",Japan,Gymnastics,7,3,4,0
"Felix Gottwald",Austria,"Nordic Combined",7,3,1,3
"Grant George Hackett",Australia,Swimming,7,3,3,1
"Veikko Johannes Hakulinen",Finland,"Cross Country Skiing",7,3,3,1
"Dagmar Hase",Germany,Swimming,7,1,5,1
"Albert Helgerud (Thorvaldsen-)",Norway,Shooting,7,2,4,1
"Mariya Kindrativna Horokhovska","Soviet Union",Gymnastics,7,2,5,0
"Christopher Andrew "Chris"" Hoy"","Great Britain",Cycling,7,6,1,0
"Ivan Patzaichin",Romania,Canoeing,7,4,3,0
"Aaron Wells Peirsol","United States",Swimming,7,5,2,0
"Ildik Rejt-Ujlaky-Sgi",Hungary,Fencing,7,2,3,2
"Yelena Dmitriyevna Novikova-Belova","Soviet Union",Fencing,6,4,1,1
"Johan Arne Olsson",Sweden,"Cross Country Skiing",6,2,1,3
"Kristin Otto","East Germany",Swimming,6,6,0,0
"Anja Sofia Tess Prson",Sweden,"Alpine Skiing",6,1,1,4
"John Michael Plumb","United States",Equestrianism,6,2,4,0
"Andrea Pollack (-Pinske)","East Germany",Swimming,6,3,3,0
"Alexandra Rose "Aly"" Raisman"","United States",Gymnastics,6,3,2,1
"Stephen Geoffrey "Steven"" Redgrave"","Great Britain",Rowing,6,5,0,1
"Olga Valentinovna Korbut (-Bortkevich  -Voynich)","Soviet Union",Gymnastics,6,4,2,0
"Janica Kosteli",Croatia,"Alpine Skiing",6,4,2,0
"Danuta Kozk",Hungary,Canoeing,6,5,1,0
"Gyz Kulcsr",Hungary,Fencing,6,4,0,2
"Claudia Knzel-Nystad",Germany,"Cross Country Skiing",6,2,3,1
"Alfred Page "Al"" Lane"","United States",Shooting,6,5,0,1
"Roald Morel Larsen",Norway,"Speed Skating",6,0,2,4
"Larisa Yevgenyevna Lazutina (Ptitsyna-)",Russia,"Cross Country Skiing",6,4,1,1
"Maurice Marie Lecoq",France,Shooting,6,1,1,4
"Kathleen Genevieve "Katie"" Ledecky"","United States",Swimming,6,5,1,0
"Eric Otto Valdemar Lemming",Sweden,Athletics,6,4,0,2
"Li Ning",China,Gymnastics,6,3,2,1
"Li Xiaoshuang",China,Gymnastics,6,2,3,1
"Ole Andreas Lilloe-Olsen",Norway,Shooting,6,5,1,0
"Thomas Alsgaard (Alsgrd-)",Norway,"Cross Country Skiing",6,5,1,0
"Bonnie Kathleen Blair (-Cruikshank)","United States","Speed Skating",6,5,0,1
"Amy Deloris Van Dyken (-Rouen)","United States",Swimming,6,6,0,0
"Johan Hbner von Holst",Sweden,Shooting,6,2,3,1
"Katrin Wagner-Augustin",Germany,Canoeing,6,4,1,1
"Wang Meng",China,"Short Track Speed Skating",6,4,1,1
"Wang Yifu",China,Shooting,6,2,3,1
"Hermann Otto Ludwig Weingrtner",Germany,Gymnastics,6,3,2,1
"Leontine Martha Henrica Petronella "Leontien"" Zijlaard-van Moorsel"",Netherlands,Cycling,6,4,1,1
"Tamara Ivanovna Manina","Soviet Union",Gymnastics,6,2,3,1
"Anna Maree Devenish Meares",Australia,Cycling,6,2,1,3
"Samuel Bode Miller","United States","Alpine Skiing",6,1,3,2
"Lavinia Corina Miloovici",Romania,Gymnastics,6,2,1,3
"Aldo Montano",Italy,Fencing,6,1,3,2
"Mika Kristian Myllyl",Finland,"Cross Country Skiing",6,1,1,4
"Nedo Nadi",Italy,Fencing,6,6,0,0
"Vladimir Aliverovich Nazlymov","Soviet Union",Fencing,6,3,2,1
"Kateina Neumannov","Czech Republic","Cross Country Skiing",6,1,4,1
"Georges Eugne William "Go"" Buchard"",France,Fencing,6,2,3,1
"Yuliya Anatolyevna Chepalova",Russia,"Cross Country Skiing",6,3,2,1
"Veronica Cogeanu-Cochela",Romania,Rowing,6,2,3,1
"Lszl Cseh  Jr.",Hungary,Swimming,6,0,4,2
"Georgeta Damian-Andrunache",Romania,Rowing,6,5,0,1
"Doina Ignat",Romania,Rowing,6,4,1,1
"Jin Jong-O","South Korea",Shooting,6,4,2,0
"Jacqueline "Jackie"" Joyner-Kersee"","United States",Athletics,6,3,1,2
"Rudolf Krpti",Hungary,Fencing,6,6,0,0
"Nellya Vladimirovna "Nelli"" Kim (-Achasov)"","Soviet Union",Gymnastics,6,5,1,0
"Kim Su-Nyeong","South Korea",Archery,6,4,1,1
"Harri Tapani Kirvesniemi",Finland,"Cross Country Skiing",6,0,0,6
"Cynthia Nicole "Cindy"" Klassen"",Canada,"Speed Skating",6,1,2,3
"Michael George Klim",Australia,Swimming,6,2,3,1
"Rita Kbn",Hungary,Canoeing,6,2,3,1
"Daniel Jean Claude Ernest Revenu",France,Fencing,6,1,0,5
"Kimberly Susan "Kim"" Rhode (-Harryman)"","United States",Shooting,6,3,1,2
"Philippe Claude Riboud",France,Fencing,6,2,2,2
"Louis Marcel Richardet",Switzerland,Shooting,6,5,1,0
"Robert Rintje Ritsma",Netherlands,"Speed Skating",6,0,2,4
"Iain Murray Rose",Australia,Swimming,6,4,1,1
"Ralph Waldo Rose","United States",Athletics,6,3,2,1
"Karl Alfred Markus Schwarzmann",Germany,Gymnastics,6,3,1,2
"Vitaly Venediktovich Shcherbo","Unified Team",Gymnastics,6,6,0,0
"Viktor Aleksandrovich Sidyak","Soviet Union",Fencing,6,4,1,1
"Viorica Daniela Siliva (-Harper)",Romania,Gymnastics,6,3,2,1
"Lidiya Pavlovna Skoblikova (-Polozkova)","Soviet Union","Speed Skating",6,6,0,0
"Matthew "Matt"" Grevers"","United States",Swimming,6,4,2,0
"Michael Gro","West Germany",Swimming,6,3,2,1
"Guo Jingjing",China,Diving,6,4,2,0
"Halvard Hanevold",Norway,Biathlon,6,3,2,1
"Brendan Joseph Hansen","United States",Swimming,6,3,1,2
"Rdiger Helm","East Germany",Canoeing,6,3,0,3
"John Frederick Hencken","United States",Swimming,6,4,1,1
"Knut Holmann",Norway,Canoeing,6,3,2,1
"Giuseppe Delfino",Italy,Fencing,6,4,2,0
"Piero D'Inzeo",Italy,Equestrianism,6,0,2,4
"Raimondo D'Inzeo",Italy,Equestrianism,6,1,2,3
"Tirunesh Dibaba Keneni",Ethiopia,Athletics,6,3,0,3
"Christian Marie Auguste d'Oriola",France,Fencing,6,4,2,0
"Natasa Douchev-Janics",Hungary,Canoeing,6,3,2,1
"Burton Cecil Downing","United States",Cycling,6,2,3,1
"George Louis Eyser","United States",Gymnastics,6,3,2,1
"Melissa Jeanette "Missy"" Franklin"","United States",Swimming,6,5,0,1
"Shelly-Ann Fraser-Pryce",Jamaica,Athletics,6,2,3,1
"Konrad Frey",Germany,Gymnastics,6,3,1,2
"Robert "Bob"" Garrett"","United States",Athletics,6,2,2,2
"Lucien Alphonse Paul Gaudin",France,Fencing,6,4,2,0
"Armin Zggeler",Italy,Luge,6,2,1,3
"Zou Kai",China,Gymnastics,6,5,0,1
"Rebecca Soni","United States",Swimming,6,3,3,0
"Konrad Stheli",Switzerland,Shooting,6,4,1,1
"Renate Stecher (Meiner-)","East Germany",Athletics,6,3,2,1
"Leon tukelj",Yugoslavia,Gymnastics,6,3,1,2
"Sun Yang",China,Swimming,6,3,2,1
"Gunde Anders Svan",Sweden,"Cross Country Skiing",6,4,1,1
"Oscar Gomer Swahn",Sweden,Shooting,6,3,1,2
"Olga Tass-Lemhnyi (Todenbier-)",Hungary,Gymnastics,6,1,3,2
"Mark James Todd","New Zealand",Equestrianism,6,2,1,3
"Shuji Tsurumi",Japan,Gymnastics,6,2,3,1
"Vegard Ulvang",Norway,"Cross Country Skiing",6,3,2,1
"Christine Stckelberger",Switzerland,Equestrianism,5,1,3,1
"Viorica Susanu",Romania,Rowing,5,4,0,1
"Emil Hegle Svendsen",Norway,Biathlon,5,4,1,0
"Ecaterina (Katalin-) Szabo (-Tamas)",Romania,Gymnastics,5,4,1,0
"Miya Tachibana",Japan,"Synchronized Swimming",5,0,4,1
"Miho Takeda",Japan,"Synchronized Swimming",5,0,4,1
"Ryoko Tamura-Tani",Japan,Judo,5,2,2,1
"Walter Beardsley Tewksbury","United States",Athletics,5,2,2,1
"Lesley Allison Thompson-Willie",Canada,Rowing,5,1,3,1
"Earl Foster Thomson","United States",Equestrianism,5,2,3,0
"Aleksandr Ivanovich Tikhonov","Soviet Union",Biathlon,5,4,1,0
"Alberto Tomba",Italy,"Alpine Skiing",5,3,2,0
"Franois-Louis Tremblay",Canada,"Short Track Speed Skating",5,2,2,1
"Pl Bjarne Tyldum",Norway,"Cross Country Skiing",5,2,3,0
"Huang Xuechen",China,"Synchronized Swimming",5,0,3,2
"Veikko Aarne Aleks Huhtanen",Finland,Gymnastics,5,3,1,1
"Marcus Latimer Hurley","United States",Cycling,5,4,0,1
"Nataliya Sergeyevna Ishchenko",Russia,"Synchronized Swimming",5,5,0,0
"John Arthur Jarvis","Great Britain",Swimming,5,2,1,2
"Jeon I-Gyeong","South Korea","Short Track Speed Skating",5,4,0,1
"Knut Johannesen",Norway,"Speed Skating",5,2,2,1
"Carl Hugo Johansson",Sweden,Shooting,5,2,0,3
"Andr Ren Jousseaum",France,Equestrianism,5,2,2,1
