average_age,region,Gold,Silver,Bronze,Total_Medals_From_Athletes
25,"Cayman Islands",0,0,0,0
26,Guinea-Bissau,0,0,0,0
25,Timor-Leste,0,0,0,0
24,"Democratic Republic of the Congo",0,0,0,0
26,"San Marino",0,0,0,0
22,Laos,0,0,0,0
23,NA,0,0,0,0
23,Cambodia,0,0,0,0
24,"Solomon Islands",0,0,0,0
26,"Cape Verde",0,0,0,0
23,"Equatorial Guinea",0,0,0,0
26,Boliva,0,0,0,0
23,Andorra,0,0,0,0
23,Antigua,0,0,0,0
24,"Saint Lucia",0,0,0,0
24,Micronesia,0,0,0,0
26,Myanmar,0,0,0,0
24,Malawi,0,0,0,0
22,"Sao Tome and Principe",0,0,0,0
24,"Republic of Congo",0,0,0,0
23,Gambia,0,0,0,0
23,"Cook Islands",0,0,0,0
25,Albania,0,0,0,0
24,Swaziland,0,0,0,0
24,"Burkina Faso",0,0,0,0
25,Aruba,0,0,0,0
23,Nauru,0,0,0,0
26,Bhutan,0,0,0,0
20,"Marshall Islands",0,0,0,0
22,Kiribati,0,0,0,0
24,"South Sudan",0,0,0,0
25,Lesotho,0,0,0,0
