sport,Year,average_height,average_weight
"Synchronized Swimming",2016,168.72,55.62
"Table Tennis",2016,172.04,64.61
Taekwondo,2016,179.69,67.41
Tennis,2016,180.15,72.1
Trampolining,2016,167.5,58.72
Triathlon,2016,173.17,60.75
Volleyball,2016,190.33,80.29
"Water Polo",2016,185.29,85.45
Weightlifting,2016,166.71,79.84
Wrestling,2016,172.52,78.03
