Name,Team,Sport,num_medals
"Stanley Rupert "Stan"" Rowley"",Australia,Athletics,3
"James William George "Bill"" Roycroft"",Australia,Equestrianism,3
"Norbert Rzsa",Hungary,Swimming,3
"Bevil Gordon d'Urban Rudd","South Africa",Athletics,3
"Melita (-Melitta) Ruhn (-Fleischer)",Romania,Gymnastics,3
"Yumilka Ruz Luaces",Cuba,Volleyball,3
"Tracie Lehuanani Ruiz-Conforto","United States","Synchronized Swimming",3
"tefan Rusu",Romania,Wrestling,3
"Katrin Rutschow-Stomporowski",Germany,Rowing,3
"Birger Johannes Ruud",Norway,"Ski Jumping",3
"Sylvia Eliina Ruuska","United States",Swimming,3
"Matthew Morgan "Matt"" Ryan"",Australia,Equestrianism,3
"Sarah Michelle Ryan",Australia,Swimming,3
"Aleksanteri Saarvala (Schabarin-)",Finland,Gymnastics,3
"Gianluigi Saccaro",Italy,Fencing,3
"Yevgeny Viktorovich Sadovy","Unified Team",Swimming,3
"Hadi Saei Bonehkohal",Iran,Taekwondo,3
"Anton Engelbert "Toni"" Sailer"",Austria,"Alpine Skiing",3
"Oleg Elekpayevich Saitov",Russia,Boxing,3
"Jzsef Skovics (-Szecsdi)",Hungary,Fencing,3
"Sami Sakari Salo",Finland,"Ice Hockey",3
"Cesare Salvadori",Italy,Fencing,3
"Karl Bertil Sandstrm",Sweden,Equestrianism,3
"Lszl Srosi",Hungary,"Water Polo",3
"Andrea Sartoretti",Italy,Volleyball,3
"Alessio Sartori",Italy,Rowing,3
"Amarilys Savn Carmenate",Cuba,Judo,3
"Flix Savn Fabr",Cuba,Boxing,3
"Buvaysar Khamidovich Saytiyev",Russia,Wrestling,3
"Otto Scheff (Sochaczewsky-)",Austria,Swimming,3
"Zoltn Schenker (Ozoray)",Hungary,Fencing,3
"Michel Scheuer",Germany,Canoeing,3
"Felix Adolf Schmal",Austria,Cycling,3
"Bernard Jules Robert Schmetz",France,Fencing,3
"Carmela Schmidt (-Ertel)","East Germany",Swimming,3
"Martin Schmitt",Germany,"Ski Jumping",3
"Alwin Schockemhle","West Germany",Equestrianism,3
"Roland Mark Schoeman","South Africa",Swimming,3
"Jackson Volney Scholz","United States",Athletics,3
"Ollie Martin Schriver","United States",Shooting,3
"Frances Cowells Schroth","United States",Swimming,3
"Carl Schuhmann",Germany,Gymnastics,3
"Karl Schultz","West Germany",Equestrianism,3
"Nino Schurter",Switzerland,Cycling,3
"Antonio Scull Hernndez",Cuba,Baseball,3
"Gregory Mark Pascoe "Greg"" Searle"","Great Britain",Rowing,3
"Albert Sguin",France,Gymnastics,3
"Karin Seick","West Germany",Swimming,3
"Guenter H. Seidel","United States",Equestrianism,3
"Vladimir Viktorovich Semyonov","Soviet Union","Water Polo",3
"Antonina Aleksandrovna Seredina","Soviet Union",Canoeing,3
"Oleksandr Maksymovych Shaparenko","Soviet Union",Canoeing,3
"Sheng Zetian",China,Wrestling,3
"Salim Sherwani",Pakistan,Hockey,3
"Shim Seok-Hui","South Korea","Short Track Speed Skating",3
"Hiroyasu Shimizu",Japan,"Speed Skating",3
"Yuriy Heorhiyovych Siedykh","Soviet Union",Athletics,3
"Sara Simeoni (-Azzaro)",Italy,Athletics,3
"Toma Simionov",Romania,Canoeing,3
"Diederik Rudolf Simon",Netherlands,Rowing,3
"Sherone Anmarica Simpson",Jamaica,Athletics,3
"Balbir Singh",India,Hockey,3
"Harbinder Singh Chimni",India,Hockey,3
"Prithipal Singh",India,Hockey,3
"Randhir Singh Gentle",India,Hockey,3
"Balbir Singh Dosanjh, Sr.",India,Hockey,3
"Cornelia Sirch (Embacher-)","East Germany",Swimming,3
"Sture Sivertsen",Norway,"Cross Country Skiing",3
"Jan Niklas Patrik Sjberg",Sweden,Athletics,3
"Sarah Frederica Sjstrm",Sweden,Swimming,3
"Liv Grete Skjelbreid-Poire",Norway,Biathlon,3
"Kristen Skjeldal",Norway,"Cross Country Skiing",3
"Olaf Sletten",Norway,Shooting,3
"Olga Anatolyevna Slyusareva",Russia,Cycling,3
"Minke Smabers (-Smeets)",Netherlands,Hockey,3
"Kathryn Jane "Kathy"" Smallwood-Cook"","Great Britain",Athletics,3
"Kristina migun-Vhi",Estonia,"Cross Country Skiing",3
"Vladimir Mikhaylovich Smirnov","Soviet Union","Cross Country Skiing",3
"Charles Sydney Smith","Great Britain","Water Polo",3
"Alice Mary Mills (-Tait)",Australia,Swimming,3
"Galina Yakovlevna Minaicheva (-Sharabidze)","Soviet Union",Gymnastics,3
"Masayuki Minami",Japan,Volleyball,3
"Arsens Miskarovs","Soviet Union",Swimming,3
"Elizabeth "Betsy"" Mitchell"","United States",Swimming,3
"Dennis Allen Mitchell","United States",Athletics,3
"Rosemarie "Rosi"" Mittermaier (-Neureuther)"","West Germany","Alpine Skiing",3
"Heather Blaine Mitts (-Feeley)","United States",Football,3
"Yoshinobu Miyake",Japan,Weightlifting,3
"Lars-Erik Moberg",Sweden,Canoeing,3
"Jnos Mogyorsi-Klencs",Hungary,Gymnastics,3
"Tams Molnr",Hungary,"Water Polo",3
"Jessica Monroe (-Gonin)",Canada,Rowing,3
"Mario Aldo Montano",Italy,Fencing,3
"Eugenio Monti",Italy-2,Bobsleigh,3
"Eugenio Monti",Italy-1,Bobsleigh,3
"Ondej Moravec","Czech Republic",Biathlon,3
"Ftima Moreira de Melo",Netherlands,Hockey,3
"Shinji Morisue",Japan,Gymnastics,3
"Volodymyr Ivanovych Morozov","Soviet Union",Canoeing,3
"Bobby Joe Morrow","United States",Athletics,3
"Simmone Anne Morrow",Australia,Softball,3
"Annemarie Moser-Prll",Austria,"Alpine Skiing",3
"Edwin Corley Moses","United States",Athletics,3
"Motiullah Khan",Pakistan,Hockey,3
"Berit Mrdre-Lammedal",Norway,"Cross Country Skiing",3
"Camille-Marie Manuella Muffat",France,Swimming,3
"Valdis Muinieks","Soviet Union",Basketball,3
"Ellen S. Mller-Preis",Austria,Fencing,3
"Nicolae Munteanu",Romania,Handball,3
"Diana Marie Munz (-DePetro)","United States",Swimming,3
"Valery Alekseyevich Muratov","Soviet Union","Speed Skating",3
"Ryan Murphy","United States",Swimming,3
"Andrew Barron "Andy"" Murray"","Great Britain",Tennis,3
"Halil Mutlu",Turkey,Weightlifting,3
"Curtis Allen Myden",Canada,Swimming,3
"Kenneth "Ken"" Myers"","United States",Rowing,3
"Jarmo Pentti Kalevi Myllys",Finland,"Ice Hockey",3
"Marie-Theres Nadig",Switzerland,"Alpine Skiing",3
"Imre Nagy",Hungary,"Modern Pentathlon",3
"Nadia Anita Louise Nall (-Richesson)","United States",Swimming,3
"Daniel Narcisse",France,Handball,3
"Mohammad Nassiri Seresht",Iran,Weightlifting,3
"Juan Carlos Navarro Feijoo",Spain,Basketball,3
"Nataliya Viktorovna Nazarova",Russia,Athletics,3
"Gyrgy Nbald",Hungary,Fencing,3
"Veronica Necula",Romania,Rowing,3
"Meinhard Nehmer","East Germany-1",Bobsleigh,3
"Sandra Lynn "Sandy"" Neilson (-Bell)"","United States",Swimming,3
"Katsutoshi Nekoda",Japan,Volleyball,3
"John Maurer Nelson","United States",Swimming,3
"Emese Nemeth-Hunyady (-Jrvinen)",Austria,"Speed Skating",3
"Magdalena Neuner (-Holzer)",Germany,Biathlon,3
"Robert Frederick Newbery",Australia,Diving,3
"Christopher "Chris"" Newton"","Great Britain",Cycling,3
"Andrew Clifton Nicholson","New Zealand",Equestrianism,3
"Niels Christian Oscar Nielsen (-Nrland)",Denmark,Football,3
"Toni Markus Nieminen",Finland,"Ski Jumping",3
"Elin Nilsen",Norway,"Cross Country Skiing",3
"Karl-Erik Nilsson",Sweden,Wrestling,3
"Tadahiro Nomura",Japan,Judo,3
"Martha (Mrta) Maria Norelius (-McAllister, -Wright, -Brown)","United States",Swimming,3
"Dezs Novk",Hungary,Football,3
"Teppo Kalevi Numminen",Finland,"Ice Hockey",3
"Stacey Annette Nuveman (-Deniz)","United States",Softball,3
"Inger Helene Nybrten",Norway,"Cross Country Skiing",3
"O Gyo-Mun","South Korea",Archery,3
"Ecaterina Oancia (Iane-)",Romania,Rowing,3
"William Parry O'Brien, Jr.","United States",Athletics,3
"Leah Marie O'Brien-Amico","United States",Softball,3
"Hugues Obry",France,Fencing,3
"David O'Connor","United States",Equestrianism,3
"Diego Occhiuzzi",Italy,Fencing,3
"Oh Yeong-Ran","South Korea",Handball,3
"Christine Ijeoma Chika Ohuruogu","Great Britain",Athletics,3
"Abelardo Olivier",Italy,Fencing,3
"Frithjof Olsen",Norway,Gymnastics,3
"Erik Staffan Olsson",Sweden,Handball,3
"Ioana Olteanu (Clin-)",Romania,Rowing,3
"Thierry Omeyer",France,Handball,3
"Borys Hryhorovych Onyshchenko","Soviet Union","Modern Pentathlon",3
"Maksim Aleksandrovich Opalev",Russia,Canoeing,3
"Britta Oppelt",Germany,Rowing,3
"Heather Ann OReilly (-Werry)","United States",Football,3
"Olga Orban-Szabo (Orbn-Szab)",Romania,Fencing,3
"Henri Jean Oreiller",France,"Alpine Skiing",3
"Idalys Ortz Bocourt",Cuba,Judo,3
"Leonid Mikhaylovich Osipov","Soviet Union","Water Polo",3
"Micheline O. M. Ostermeyer (-Ghazarian)",France,Athletics,3
"Anne Ottenbrite (-Muylaert)",Canada,Swimming,3
"Darrell Owen Pace","United States",Archery,3
"Antonio Pacheco Mass",Cuba,Baseball,3
"Michael Owen Page","United States",Equestrianism,3
"Denis Vladimirovich Pankratov",Russia,Swimming,3
"Lszl Papp",Hungary,Boxing,3
"Eduardo Paret Prez",Cuba,Baseball,3
"Vladimir Vladimirovich Parfenovich","Soviet Union",Canoeing,3
"Angelo Parisi",France,Judo,3
"Park Gyeong-Mo","South Korea",Archery,3
"Park Jang-Sun","South Korea",Wrestling,3
"Cynthia Marie "Cindy"" Parlow"","United States",Football,3
"Jnos Parti",Hungary,Canoeing,3
"Aneta Pastuszka-Konieczna",Poland,Canoeing,3
"Ferenc Pataki",Hungary,Gymnastics,3
"Carly Rae Patterson (-Caldwell)","United States",Gymnastics,3
"Rodney Stuart Pattisson","Great Britain",Sailing,3
"Simona Puca (-Rus)",Romania,Gymnastics,3
"Maartje Yvonne Helene Paumen",Netherlands,Hockey,3
"Todd Robert Pearson",Australia,Swimming,3
"Carl Alfred Pedersen",Norway,Gymnastics,3
"Perrine Marie Pelen (-Mazzega)",France,"Alpine Skiing",3
"Onni Wilhelm Pellinen",Finland,Wrestling,3
"Giorgio Pellini",Italy,Fencing,3
"Victoria Louise "Vicki"" Pendleton (-Gardner)"","Great Britain",Cycling,3
"Iain Bryden Percy","Great Britain",Sailing,3
"Marie-Jos Juliana Prec (Hontas-)",France,Athletics,3
"Annie Perreault",Canada,"Short Track Speed Skating",3
"Rodrigo de Paula Pessoa",Brazil,Equestrianism,3
"Ariel Osvaldo Pestano Valdes",Cuba,Baseball,3
"Victor John "V. J."" Peter"",India,Hockey,3
"Josef Petersen",Denmark,"Art Competitions",3
"Amy Eileen Peterson (-Peck)","United States","Short Track Speed Skating",3
"Larisa Leonidovna Petrik (-Klimenko)","Soviet Union",Gymnastics,3
"Vladimir Vladimirovich Petrov","Soviet Union","Ice Hockey",3
"Attila Petschauer",Hungary,Fencing,3
"Brit Pettersen (-Tofte)",Norway,"Cross Country Skiing",3
"Gsta Artur Roland Pettersson",Sweden,Cycling,3
"Elin Ann-Sofi Pettersson-Colling (-Saltin)",Sweden,Gymnastics,3
"Yelena Vladimirovna Petushkova (-Brumel-)","Soviet Union",Equestrianism,3
"Barbara Petzold (-Beyer)","East Germany","Cross Country Skiing",3
"Anna Pfeffer",Hungary,Canoeing,3
"Stefan Pfeiffer","West Germany",Swimming,3
"Andrzej Ryszard Pitkowski",Poland,Fencing,3
"Franck Piccard",France,"Alpine Skiing",3
"Frdric Pietruszka",France,Fencing,3
"Zbigniew Pietrzykowski",Poland,Boxing,3
"Ugo Pignotti",Italy,Fencing,3
"Kustaa Kustaanpoika Pihlajamki",Finland,Wrestling,3
"Duko Pijetlovi",Serbia,"Water Polo",3
"Julien Pillet",France,Fencing,3
"William Edwin Pimm","Great Britain",Shooting,3
"Adam Robert Pine",Australia,Swimming,3
"Cherie Piper",Canada,"Ice Hockey",3
"Dnes Pcsik",Hungary,"Water Polo",3
"Liliya Oleksandrivna Podkopaieva (-Nahorniy)",Ukraine,Gymnastics,3
"Yuriy Mykhailovych Poiarkov","Soviet Union",Volleyball,3
"Raphal Stphane Louis Poire",France,Biathlon,3
"Claudia Mara Poll Ahrens","Costa Rica",Swimming,3
"Heinrich "Heinz"" Pollay"",Germany,Equestrianism,3
"Igor Nikolayevich Polyansky","Soviet Union",Swimming,3
"Thomas Harold "Tom"" Ponting"",Canada,Swimming,3
"Frantiek Pospil",Czechoslovakia,"Ice Hockey",3
"Sndor Psta",Hungary,Fencing,3
"Gabriela Potorac",Romania,Gymnastics,3
"Leah Jean Poulos-Mueller","United States","Speed Skating",3
"Thomas Fahrner","West Germany",Swimming,3
"Trisha Nicole "Trish"" Fallon (-Dykstra)"",Australia,Basketball,3
"Tams Farag",Hungary,"Water Polo",3
"Albert Pascal Fauvel",France,Archery,3
"Joy Lynn Fawcett (Biefeld-)","United States",Football,3
"Alessandro Fei",Italy,Volleyball,3
"Lszl Felkai",Hungary,"Water Polo",3
"Feng Tian Wei",Singapore,"Table Tennis",3
"Csaba Fenyvesi",Hungary,Fencing,3
"Deborah "Debbie"" Ferguson-McKenzie"",Bahamas,Athletics,3
"Ana Ivis Fernndez Valle",Cuba,Volleyball,3
"Lisa M. Fernandez (-Lujan)","United States",Softball,3
"Maria Jose "Mary Joe"" Fernandez (-Godsick)"","United States",Tennis,3
"Rodolfo "Rudy"" Fernndez Farrs"",Spain,Basketball,3
"Marcelo Bastos Ferreira",Brazil,Sailing,3
"Vyacheslav Aleksandrovich "Slava"" Fetisov"","Soviet Union","Ice Hockey",3
"Victor Louis Fierens",Belgium,Archery,3
"Sergey Ivanovich Filatov","Soviet Union",Equestrianism,3
"Mariya Yevgenyevna Filatova (-Kurbatova)","Soviet Union",Gymnastics,3
"Filip Filipovi",Serbia,"Water Polo",3
"Conrad Francis "Conn"" Findlay"","United States",Rowing,3
"Tatyana Pavlovna Firova",Russia,Athletics,3
"Anatoly Vasilyevich Firsov","Soviet Union","Ice Hockey",3
"Volker Fischer","West Germany",Fencing,3
"Marie Lon Flameng",France,Cycling,3
"Paul Jeffrey Foerster","United States",Sailing,3
"Hlia "Fofo"" Rogrio de Souza Pinto"",Brazil,Volleyball,3
"Imre Fldi",Hungary,Weightlifting,3
"Alexandru Flker",Romania,Handball,3
"Julie Maurine Foudy","United States",Football,3
"Sylvia Shaqueria Fowles","United States",Basketball,3
"William Speed Lane Fox-Pitt","Great Britain",Equestrianism,3
"Marit Malm Frafjord",Norway,Handball,3
"Ranganathan Francis",India,Hockey,3
"Michele Frangilli",Italy,Archery,3
"Egon Johann Franke",Poland,Fencing,3
"Niels Christian Fredborg",Denmark,Cycling,3
"Karl Telford Frederick","United States",Shooting,3
"Kevin John Freeman","United States",Equestrianism,3
"Karl Gustav Herbert Freij",Sweden,Wrestling,3
"Meike Freitag",Germany,Swimming,3
"Eric Frenzel",Germany,"Nordic Combined",3
"Heike Friedrich","East Germany",Swimming,3
"Lars Arne Frlander",Sweden,Swimming,3
"Fu Haifeng",China-1,Badminton,3
"Guido Fulst",Germany,Cycling,3
"Kazuyoshi Funaki",Japan,"Ski Jumping",3
"Zita-Eva Funkenhauser","West Germany",Fencing,3
"Philippa Rachel "Pippa"" Funnell (Nolan-)"","Great Britain",Equestrianism,3
"Moritz Frste",Germany,Hockey,3
"Nina Viktorovna Fyodorova-Baldycheva","Soviet Union","Cross Country Skiing",3
"Liliana Gafencu",Romania,Rowing,3
"Marco Galiazzo",Italy,Archery,3
"Carlo Galimberti",Italy,Weightlifting,3
"Lyubov Vladimirovna Galkina",Russia,Shooting,3
"Jnos Garay",Hungary,Fencing,3
"Agustina Soledad "Sole"" Garca"",Argentina,Hockey,3
"Edward Gardre",France,Fencing,3
"Pau Gasol Sez",Spain,Basketball,3
"Nina Vasilyevna Gavrylyuk",Russia,"Cross Country Skiing",3
"Imre Gedvri",Hungary,Fencing,3
"Natalie Geisenberger",Germany,Luge,3
"Robert Steven "Steve"" Genter"","United States",Swimming,3
"Peter T. "Pete"" George"","United States",Weightlifting,3
"Ioannis Georgiadis",Greece,Fencing,3
"Aleksandra Viktorovna Gerasimenya",Belarus,Swimming,3
"Marie Claude Maurice Germot",France,Tennis,3
"Andrea Giani",Italy,Volleyball,3
"Gilberto Amauri "Giba"" de Godoy Filho"",Brazil,Volleyball,3
"Christian Gille",Germany,Canoeing,3
"Fabien Pierre Aurlien Dominique Gilot",France,Swimming,3
"Douglas Seneca "Doug"" Gjertsen"","United States",Swimming,3
"ivko Goci",Serbia,"Water Polo",3
"Micheline Franoise Marielle Goitschel",France,"Alpine Skiing",3
"Fernando Francisco Gonzlez Ciuffardi",Chile,Tennis,3
"Jean Honor  Gounot",France,Gymnastics,3
"Danielle Goyette",Canada,"Ice Hockey",3
"Elvis Gregory Gil",Cuba,Fencing,3
"Michael Greis",Germany,Biathlon,3
"Kari Aalvik Grimsb",Norway,Handball,3
"Mariya Igorevna Gromova",Russia,"Synchronized Swimming",3
"Bernhard Gruber",Austria,"Nordic Combined",3
"Johan Hagbart Pedersen Grttumsbraaten",Norway,"Cross Country Skiing",3
"Johan Hagbart Pedersen Grttumsbraaten",Norway,"Nordic Combined",3
"Gioacchino Guaragna",Italy,Fencing,3
"Michal Yves Robert Guigou",France,Handball,3
"Jonathan Guilmette",Canada,"Short Track Speed Skating",3
"Fritz "Itze"" Gunst"",Germany,"Water Polo",3
"Guo Yue",China,"Table Tennis",3
"Mariya Ivanovna Gusakova (Kudimova-)","Soviet Union","Cross Country Skiing",3
"Yuliya Aleksandrovna Gushchina",Russia,Athletics,3
"Linda Lee Gustavson (-McGuire)","United States",Swimming,3
"Jean Gutweniger",Switzerland,Gymnastics,3
"Anna Margret Haag (Hansson-)",Sweden,"Cross Country Skiing",3
"Nicole Lee Haislett (-Bacher)","United States",Swimming,3
"Andreas Hajek",Germany,Rowing,3
"Olivr Halassy (Haltmayer)",Hungary,"Water Polo",3
"Kaye Marie Hall (-Greff)","United States",Swimming,3
"Lars Gran Ivar Hall",Sweden,"Modern Pentathlon",3
"Wyndham Halswelle","Great Britain",Athletics,3
"Fabian Hambchen",Germany,Gymnastics,3
"Abdul Hamid",Pakistan,Hockey,3
"Paul Elbert Hamm","United States",Gymnastics,3
"Lszl Hammerl",Hungary,Shooting,3
"Sven Hannawald (Phler-)",Germany,"Ski Jumping",3
"Erik Rosendahl Hansen",Denmark,Canoeing,3
"Henry Peter Christian Hansen",Denmark,Cycling,3
"Lasse Norman Hansen",Denmark,Cycling,3
"Willy Falck Hansen",Denmark,Cycling,3
"Boden Joseph "Bo"" Hanson"",Australia,Rowing,3
"Pontus Hanson",Sweden,"Water Polo",3
"Masahiko Harada",Japan,"Ski Jumping",3
"Harold Hampton Hardwick",Australasia,Swimming,3
"Ingrid Roelinda Haringa",Netherlands,Cycling,3
"Curtis Melvin "Curt"" Harnett"",Canada,Cycling,3
"Lori D. Harrigan (-Mack)","United States",Softball,3
"Karen Margrethe Harup (-Petersen)",Denmark,Swimming,3
"John Gatenby "Jack"" Hatfield"","Great Britain",Swimming,3
"Gregory "Greg"" Haughton"",Jamaica,Athletics,3
"Tobias Constantin Hauke",Germany,Hockey,3
"Rechelle Margaret Hawkes",Australia,Hockey,3
"He Kexin",China,Gymnastics,3
"He Zi",China,Diving,3
"Liam Nicholas Heath","Great Britain",Canoeing,3
"Harry Joseph Hebner","United States",Swimming,3
"Whitney Lynn Hedgepeth (-Luther)","United States",Swimming,3
"Beat Hefti",Switzerland-1,Bobsleigh,3
"Britta Heidemann",Germany,Fencing,3
"Raimo Ilmari Helminen",Finland,"Ice Hockey",3
"David Peter "Dave"" Hemery"","Great Britain",Athletics,3
"Deon Marie Hemmings",Jamaica,Athletics,3
"Sonja Henie (-Topping, -Gardiner, -Onstad)",Norway,"Figure Skating",3
"Frank Sherman Henry","United States",Equestrianism,3
"Jodie Clare Henry",Australia,Swimming,3
"Heo Sun-Yeong","South Korea",Handball,3
"Mara de la Paz "Maripi"" Hernndez Margalot"",Argentina,Hockey,3
"Penelope "Penny"" Heyns"","South Africa",Swimming,3
"Alphonse Higelin (Hglin-)",France,Gymnastics,3
"Albert George Hill","Great Britain",Athletics,3
"Ariane Hingst",Germany,Football,3
"Frederick Sylvester "Fred"" Hird"","United States",Shooting,3
"Margaret Josephine Hoelzer","United States",Swimming,3
"Henri "Rik"" Hoevenaers"",Belgium,Cycling,3
"Otto Josef Hofer",Switzerland,Equestrianism,3
"Kathryn Elise "Katie"" Hoff (-Anderson)"","United States",Swimming,3
"Crystl Irene Bustos","United States",Softball,3
"Lars Bystl",Norway,"Ski Jumping",3
"Ettore Caffaratti",Italy,Equestrianism,3
"Jos Manuel Caldern Borrallo",Spain,Basketball,3
"Novella Calligaris",Italy,Swimming,3
"George Charles Calnan","United States",Fencing,3
"Roberto Cammarelle",Italy,Boxing,3
"Cassie Dawin Campbell (-Pascall)",Canada,"Ice Hockey",3
"Fabian Cancellara",Switzerland,Cycling,3
"Cao Yuan",China,Diving,3
"Richard John "Rick"" Carey"","United States",Swimming,3
"Jacques Cariou",France,Equestrianism,3
"Laura Gabriela Crlescu-Badea",Romania,Fencing,3
"Lisa Carrington","New Zealand",Canoeing,3
"Erwin Casmir",Germany,Fencing,3
"Andrea Cassar",Italy,Fencing,3
"Tracy Ann Caulkins (-Stockwell)","United States",Swimming,3
"John Robert "J. R."" Celski"","United States","Short Track Speed Skating",3
"Miroslav Cerar",Yugoslavia,Gymnastics,3
"Stefano Cerioni",Italy,Fencing,3
"Josef ern",Czechoslovakia,"Ice Hockey",3
"Chae Ji-Hun","South Korea","Short Track Speed Skating",3
"Louis Chaillot",France,Cycling,3
"Kyle Chalmers",Australia,Swimming,3
"Dhyan Chand Bais",India,Hockey,3
"Isabelle Charest (-Charbonneau)",Canada,"Short Track Speed Skating",3
"Robert Charpentier",France,Cycling,3
"Brandi Denise Chastain","United States",Football,3
"Yuriy Volodymyrovych Cheban",Ukraine,Canoeing,3
"William Joseph N. "Joey"" Cheek"","United States","Speed Skating",3
"Chandra Danette Cheeseborough (-Shellman, -Guice)","United States",Athletics,3
"Cheng Fei",China,Gymnastics,3
"Sergey Vladimirovich Chepikov",Russia,Biathlon,3
"Pierluigi Chicca",Italy,Fencing,3
"Nadezhda Vladimirovna Chizhova","Soviet Union",Athletics,3
"Amy Yuen-Yee Chow (-Ho)","United States",Gymnastics,3
"Linford Ecerio Christie","Great Britain",Athletics,3
"Aleksandra Georgiyevna Chudina","Soviet Union",Athletics,3
"Serhiy Oleksiyovych Chukhrai","Soviet Union",Canoeing,3
"Csar Augusto Cielo Filho",Brazil,Swimming,3
"Teresa Barbara Ciepy-Wieczorek",Poland,Athletics,3
"Kelly Clark","United States",Snowboarding,3
"William Bundu "Will"" Claye"","United States",Athletics,3
"Kerron Stephon Clement","United States",Athletics,3
"Karen Cockburn (-Turgeon)",Canada,Trampolining,3
"Dario Alonzo Cologna",Switzerland,"Cross Country Skiing",3
"Althea Kristina "Tina"" Cook (Gifford-)"","Great Britain",Equestrianism,3
"Kreimir osi",Yugoslavia,Basketball,3
"Adrian Cosma",Romania,Handball,3
"Marlenis Costa Blanco",Cuba,Volleyball,3
"Paul Vincent Costello","United States",Rowing,3
"Kameryn Louise "Kami"" Craig"","United States","Water Polo",3
"Shawn Crawford","United States",Athletics,3
"Kimberley "Kim"" Crow-Brennan"",Australia,Rowing,3
"Ann Elisabeth Curtis (-Cuneo)","United States",Swimming,3
"Juliet Jean Cuthbert",Jamaica,Athletics,3
"Draen Dalipagi",Yugoslavia,Basketball,3
"Maurizio Damilano",Italy,Athletics,3
"Ludvk Dank",Czechoslovakia,Athletics,3
"Olga Valeryevna Danilova",Russia,"Cross Country Skiing",3
"Dante Guimares Santos do Amaral",Brazil,Volleyball,3
"Natalie Rose Darwitz","United States","Ice Hockey",3
"Uwe Daler","East Germany",Swimming,3
"Caryn Davies","United States",Rowing,3
"Stephen John Davies",Australia,Hockey,3
"Glenn Ashby Davis","United States",Athletics,3
"Pauline Elaine Davis-Thompson",Bahamas,Athletics,3
"Vitaly Semyonovich Davydov","Soviet Union","Ice Hockey",3
"Yelena Viktorovna Davydova (-Filatova)","Soviet Union",Gymnastics,3
"Henri Jhan ric Joseph Marie de Buhan",France,Fencing,3
"Eva Roma Maria de Goede",Netherlands,Hockey,3
"Andre De Grasse",Canada,Athletics,3
"Annemiek Nicolien de Haan",Netherlands,Rowing,3
"Gerard Pieter de Kruijff",Netherlands,Equestrianism,3
"Louis Verrant Gabriel Le Bailly de la Falaise",France,Fencing,3
"Jrme De Mayer",Belgium,Archery,3
"Donna Elizabeth de Varona (-Pinto)","United States",Swimming,3
"Liam Andrew De Young",Australia,Hockey,3
"Maurilio De Zolt Lisabetta",Italy,"Cross Country Skiing",3
"Rajmond Debevec",Slovenia,Shooting,3
"Maxime Omer Mathieu "Max"" Omer-Dcugis"",France,Tennis,3
"Meseret Defar Tola",Ethiopia,Athletics,3
"Gervasio Deferr ngel",Spain,Gymnastics,3
"Vincent Franois Marie Defrasne",France,Biathlon,3
"Inge Dekker",Netherlands,Swimming,3
"Jeroen Petrus Maria Delme",Netherlands,Hockey,3
"Albert Mikhaylovich Demchenko",Russia,Luge,3
"Nicholas Charles "Nick"" Dempsey"","Great Britain",Sailing,3
"Ulise Joseph "Pete"" Desjardins"","United States",Diving,3
"Yolanda Gail L. Devers (-Roberts)","United States",Athletics,3
"Giuseppe Di Capua",Italy,Rowing,3
"Giorgio Di Centa",Italy,"Cross Country Skiing",3
"Elisa Di Francisca",Italy,Fencing,3
"Simon Charles Dickie","New Zealand",Rowing,3
"David Gavin Dickson",Australia,Swimming,3
"Damon Laurance Diletti",Australia,Hockey,3
"Georges Arthur Dillon-Kavanagh du Fertagh",France,Fencing,3
"Sergey Viktorovich Diomidov","Soviet Union",Gymnastics,3
"Thomas Fitzgerald "Tom"" Dolan"","United States",Swimming,3
"Ldia Dmlky-Skovics",Hungary,Fencing,3
"Zoltn Dmtr",Hungary,"Water Polo",3
"Dong Dong",China,Trampolining,3
"Wilhelmina Petronella Ardina Maria "Mijntje"" Donners"",Netherlands,Hockey,3
"Michaela Dorfmeister",Austria,"Alpine Skiing",3
"Josef Dostl","Czech Republic",Canoeing,3
"Gabrielle Christina Victoria "Gabby"" Douglas"","United States",Gymnastics,3
"David Douillet",France,Judo,3
"Marian Drgulescu",Romania,Gymnastics,3
"Georges Dransart",France,Canoeing,3
"Heike Gabriela Drechsler (Daute-)","East Germany",Athletics,3
"Lachlan George Dreher",Australia,Hockey,3
"Alexander Mah Owens Drysdale","New Zealand",Rowing,3
"Hugues Duboscq",France,Swimming,3
"Patricia "Tricia"" Dunn-Luoma"","United States","Ice Hockey",3
"Albert Paul Durant",Belgium,"Water Polo",3
"Conor James Dwyer","United States",Swimming,3
"Jamie Raymond Dwyer",Australia,Hockey,3
"Trude Dybendahl-Hartz",Norway,"Cross Country Skiing",3
"Rumyana Dimitrova Dzhadzharova-Neykova",Bulgaria,Rowing,3
"Vladimr Dzurilla",Czechoslovakia,"Ice Hockey",3
"Thomas Ebert",Denmark,Rowing,3
"Tiril Kampenhaug Eckhoff",Norway,Biathlon,3
"Peta Louise Edebone",Australia,Softball,3
"Gertrude Caroline "Trudy"" Ederle"","United States",Swimming,3
"Sonja Viola Edstrm-Ruthstrm",Sweden,"Cross Country Skiing",3
"Anthony John Edwards",Australia,Rowing,3
"Gintaras Einikis",Lithuania,Basketball,3
